title,author,rating,reviews,price,book_link,date
"How to Win Friends and Influence People [Original Edition (Complete), PREMIUM PAPERBACK]",Dale Carnegie,4.5 out of 5 stars,113611,101.00,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8129140179/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Price Action Trading : Technical Analysis Simplified!,,4.3 out of 5 stars,Sunil Gurjar (Chartmojo),318.00,https://www.amazon.in/Price-Action-Trading-Technical-Simplified/dp/8195261612/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1,2023-06-12 11:05:15
DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD,Cal Newport,4.5 out of 5 stars,25770,259.00,https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.5 out of 5 stars,3273,259.00,https://www.amazon.in/Lets-Talk-Money-Youve-Worked/dp/9352779398/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Think And Grow Rich - Hindi,Napoleon Hill,4.4 out of 5 stars,9174,99.00,https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4 out of 5 stars,1380,83.00,https://www.amazon.in/Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 | Get Free access of Smart Book (Set of 3 Books)",,3.9 out of 5 stars,MTG Editorial Board,955.00,https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/935555897X/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,2023-06-12 11:05:15
Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,4.5 out of 5 stars,2872,133.00,https://www.amazon.in/Amazing-Question-Answers-Science-Editorial/dp/9352763068/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,2023-06-12 11:05:15
"Thinking, Fast & Slow (L) (Penguin Press Non-Fiction)",Daniel Kahneman,4.5 out of 5 stars,27198,421.00,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,2023-06-12 11:05:15
vashista 360 spoken english book,,4.2 out of 5 stars,vamshi krishna,224.00,https://www.amazon.in/Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,2023-06-12 11:05:15
